calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_octahedral_3d_d1.80_q0_m3_R2SCAN-3C,octahedral_3d,1.8,0,3,R2SCAN-3C,,-148.696303342982,1.28012719,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d1.80_q0_m3_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d1.80_q0_m3_R2SCAN-3C/B6_octahedral_3d_d1.80_q0_m3_R2SCAN-3C.out
B6_octahedral_3d_d2.20_q0_m3_R2SCAN-3C,octahedral_3d,2.2,0,3,R2SCAN-3C,,-148.696303335783,1.28012739,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d2.20_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d2.20_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.20_q0_m3_R2SCAN-3C.out
B6_octahedral_3d_d2.50_q0_m3_R2SCAN-3C,octahedral_3d,2.5,0,3,R2SCAN-3C,,-148.696303332349,1.28012748,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d2.50_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d2.50_q0_m3_R2SCAN-3C/B6_octahedral_3d_d2.50_q0_m3_R2SCAN-3C.out
B6_octahedral_3d_d3.00_q0_m3_R2SCAN-3C,octahedral_3d,3.0,0,3,R2SCAN-3C,,-148.696303079726,1.28013435,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d3.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d3.00_q0_m3_R2SCAN-3C/B6_octahedral_3d_d3.00_q0_m3_R2SCAN-3C.out
B6_octahedral_3d_d3.50_q0_m3_R2SCAN-3C,octahedral_3d,3.5,0,3,R2SCAN-3C,,-148.696302141055,1.28015990,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d3.50_q0_m3_R2SCAN-3C/B6_octahedral_3d_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d3.50_q0_m3_R2SCAN-3C/B6_octahedral_3d_d3.50_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1001_d3.50_q0_m3_R2SCAN-3C,random_3d_seed1001,3.5,0,3,R2SCAN-3C,,-148.696214213669,1.28255252,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d3.50_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d3.50_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d3.50_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1001_d2.00_q0_m3_R2SCAN-3C,random_3d_seed1001,2.0,0,3,R2SCAN-3C,,-148.696209811525,1.28267231,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d2.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d2.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d2.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d2.00_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1001_d1.60_q0_m3_R2SCAN-3C,random_3d_seed1001,1.6,0,3,R2SCAN-3C,,-148.696209147405,1.28269038,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d1.60_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d1.60_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d1.60_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1001_d1.80_q0_m3_R2SCAN-3C,random_3d_seed1001,1.8,0,3,R2SCAN-3C,,-148.696208917213,1.28269665,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d1.80_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d1.80_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d1.80_q0_m3_R2SCAN-3C/B6_random_3d_seed1001_d1.80_q0_m3_R2SCAN-3C.out
B6_random_3d_seed1003_d3.00_q0_m3_R2SCAN-3C,random_3d_seed1003,3.0,0,3,R2SCAN-3C,,-148.696207045420,1.28274758,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d3.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d3.00_q0_m3_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d3.00_q0_m3_R2SCAN-3C/B6_random_3d_seed1003_d3.00_q0_m3_R2SCAN-3C.out
