calculation_name,geometry_type,distance,charge,multiplicity,method,basis,total_energy_hartree,relative_energy_ev,normal_termination,optimization_converged,has_imaginary_frequencies,n_imaginary_frequencies,lowest_frequency_cm-1,is_true_minimum,xyz_file,output_file
B6_octahedral_3d_d3.50_q0_m1_R2SCAN-3C,octahedral_3d,3.5,0,1,R2SCAN-3C,,-148.633291763517,2.99475962,True,True,,,,False,calculations/stage1/B6_octahedral_3d_d3.50_q0_m1_R2SCAN-3C/B6_octahedral_3d_d3.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_octahedral_3d_d3.50_q0_m1_R2SCAN-3C/B6_octahedral_3d_d3.50_q0_m1_R2SCAN-3C.out
B6_random_3d_seed1001_d3.50_q0_m1_R2SCAN-3C,random_3d_seed1001,3.5,0,1,R2SCAN-3C,,-148.633285496676,2.99493015,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d3.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1001_d3.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d3.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1001_d3.50_q0_m1_R2SCAN-3C.out
B6_random_3d_seed1003_d2.20_q0_m1_R2SCAN-3C,random_3d_seed1003,2.2,0,1,R2SCAN-3C,,-148.633284521867,2.99495667,True,True,,,,False,calculations/stage1/B6_random_3d_seed1003_d2.20_q0_m1_R2SCAN-3C/B6_random_3d_seed1003_d2.20_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1003_d2.20_q0_m1_R2SCAN-3C/B6_random_3d_seed1003_d2.20_q0_m1_R2SCAN-3C.out
B6_random_3d_seed1001_d3.00_q0_m1_R2SCAN-3C,random_3d_seed1001,3.0,0,1,R2SCAN-3C,,-148.633284357702,2.99496114,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d3.00_q0_m1_R2SCAN-3C/B6_random_3d_seed1001_d3.00_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d3.00_q0_m1_R2SCAN-3C/B6_random_3d_seed1001_d3.00_q0_m1_R2SCAN-3C.out
B6_random_3d_seed1001_d2.50_q0_m1_R2SCAN-3C,random_3d_seed1001,2.5,0,1,R2SCAN-3C,,-148.633284255994,2.99496391,True,True,,,,False,calculations/stage1/B6_random_3d_seed1001_d2.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1001_d2.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_random_3d_seed1001_d2.50_q0_m1_R2SCAN-3C/B6_random_3d_seed1001_d2.50_q0_m1_R2SCAN-3C.out
B6_trigonal_prism_d3.50_q0_m1_R2SCAN-3C,trigonal_prism,3.5,0,1,R2SCAN-3C,,-148.631494235257,3.04367285,True,True,,,,False,calculations/stage1/B6_trigonal_prism_d3.50_q0_m1_R2SCAN-3C/B6_trigonal_prism_d3.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_trigonal_prism_d3.50_q0_m1_R2SCAN-3C/B6_trigonal_prism_d3.50_q0_m1_R2SCAN-3C.out
B6_linear_chain_d3.50_q0_m1_R2SCAN-3C,linear_chain,3.5,0,1,R2SCAN-3C,,-148.631492001145,3.04373365,True,True,,,,False,calculations/stage1/B6_linear_chain_d3.50_q0_m1_R2SCAN-3C/B6_linear_chain_d3.50_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_linear_chain_d3.50_q0_m1_R2SCAN-3C/B6_linear_chain_d3.50_q0_m1_R2SCAN-3C.out
B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C,compact_planar_triangle,2.2,0,1,R2SCAN-3C,,-148.630568482579,3.06886387,True,True,,,,False,calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.20_q0_m1_R2SCAN-3C.out
B6_compact_planar_triangle_d2.00_q0_m1_R2SCAN-3C,compact_planar_triangle,2.0,0,1,R2SCAN-3C,,-148.630568482385,3.06886387,True,True,,,,False,calculations/stage1/B6_compact_planar_triangle_d2.00_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.00_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_compact_planar_triangle_d2.00_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d2.00_q0_m1_R2SCAN-3C.out
B6_compact_planar_triangle_d1.80_q0_m1_R2SCAN-3C,compact_planar_triangle,1.8,0,1,R2SCAN-3C,,-148.630568481214,3.06886390,True,True,,,,False,calculations/stage1/B6_compact_planar_triangle_d1.80_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d1.80_q0_m1_R2SCAN-3C_optimized.xyz,calculations/stage1/B6_compact_planar_triangle_d1.80_q0_m1_R2SCAN-3C/B6_compact_planar_triangle_d1.80_q0_m1_R2SCAN-3C.out
